step_seq,ppid,lot_type,lot_id,root_lot_id,wafer_id,tkout_time,fab_value,metro_step_seq,item_id
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,1,2026-02-01 00:08:32,-1.093575085012933,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,2,2026-02-01 00:57:57,-0.5693813571074358,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,3,2026-02-01 01:43:12,-1.7150466777665425,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,4,2026-02-01 01:47:59,-0.6533772086133842,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,5,2026-02-01 01:56:58,0.3197221083767449,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,6,2026-02-01 02:06:22,-0.57144873767406,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,7,2026-02-01 02:26:09,-0.7956980869283268,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,8,2026-02-01 02:37:49,0.564630659892636,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,9,2026-02-01 02:56:38,-0.47186164417986043,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,10,2026-02-01 03:18:12,-1.9099995440406776,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,11,2026-02-01 03:19:10,0.07967460011053148,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,12,2026-02-01 04:12:46,-1.4229152641727334,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,13,2026-02-01 04:36:06,0.5257488392184193,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,14,2026-02-01 06:28:56,1.8918146384056913,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,15,2026-02-01 06:30:42,-1.6599052187231857,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,16,2026-02-01 07:38:35,-0.34500570448059253,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,17,2026-02-01 09:17:52,1.703492970394102,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,18,2026-02-01 09:36:21,-0.15787582380324425,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,19,2026-02-01 09:55:37,-1.6022642102830142,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,20,2026-02-01 10:51:32,-0.28152301551733355,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,21,2026-02-01 11:09:50,-0.5844696806520843,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,22,2026-02-01 11:29:17,0.11729624006709322,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,23,2026-02-01 12:56:25,-1.3759885134181253,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,24,2026-02-01 13:50:55,1.592978550077696,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0001.1,A0001,25,2026-02-01 15:48:31,-0.23087646893092942,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,1,2026-02-01 15:55:04,0.772325388597687,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,2,2026-02-01 16:31:00,-0.4115610843035045,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,3,2026-02-01 19:08:34,0.8879819994541069,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,5,2026-02-01 19:28:00,-1.2144099341335326,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,6,2026-02-01 20:05:09,0.03984639249522698,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,8,2026-02-01 20:32:48,0.7020649484229877,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,11,2026-02-01 20:44:56,-0.17484645483590947,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,12,2026-02-01 20:56:39,1.3476991772578824,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,13,2026-02-01 21:03:21,-2.685624646911374,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,14,2026-02-01 22:00:36,1.0619913422160692,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,17,2026-02-01 22:03:36,-0.1733445234612998,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,21,2026-02-01 23:23:15,0.3336465679414705,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,22,2026-02-01 23:40:57,1.859908024757722,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0002.1,A0002,24,2026-02-02 00:21:43,-2.2932470757184324,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,1,2026-02-02 00:41:11,-0.37878153148663846,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,2,2026-02-02 01:21:24,3.112967725994161,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,3,2026-02-02 01:38:05,-0.2621079925045706,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,4,2026-02-02 01:41:46,-0.1716684753649262,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,5,2026-02-02 01:51:42,0.8275486962153435,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,6,2026-02-02 02:21:34,-1.442273218574656,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,7,2026-02-02 02:21:57,0.4005799002574801,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,8,2026-02-02 03:30:15,0.324491669240911,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,9,2026-02-02 03:49:20,-2.0588226499920004,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,10,2026-02-02 04:03:43,-2.4730129858592087,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,11,2026-02-02 04:06:36,-0.06966643020191407,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,12,2026-02-02 04:32:01,0.7623842582866034,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,13,2026-02-02 04:35:08,-0.7297954295959354,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,14,2026-02-02 05:20:59,-0.3573152661671148,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,15,2026-02-02 05:22:44,-0.4164026394792174,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,16,2026-02-02 06:30:00,-1.2998363340301462,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,17,2026-02-02 07:23:06,1.2905647881857383,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,18,2026-02-02 07:35:54,0.09809607054277111,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,19,2026-02-02 07:49:38,-0.8461667213059938,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,20,2026-02-02 08:00:42,-1.7724161350017953,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,21,2026-02-02 08:21:42,0.123697668879721,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,22,2026-02-02 08:22:28,-0.8798105182238427,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,23,2026-02-02 08:57:14,-0.13212939341594732,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,24,2026-02-02 08:57:49,-0.029618096564149515,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_2,A0003.1,A0003,25,2026-02-02 09:05:13,1.8625040821248897,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,1,2026-02-02 09:14:41,0.02541697766651843,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,2,2026-02-02 09:30:01,-1.013214962328941,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,3,2026-02-02 09:40:16,-0.12609215149810712,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,4,2026-02-02 09:45:33,-0.17824578810455194,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,5,2026-02-02 10:10:20,0.5910348003316355,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,6,2026-02-02 11:00:14,0.0697769520109803,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,7,2026-02-02 11:35:05,2.223038011919391,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,8,2026-02-02 12:36:16,-0.44618160079856023,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,9,2026-02-02 13:34:09,0.054021087653053086,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,10,2026-02-02 14:30:32,-0.4717679141231065,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,11,2026-02-02 14:38:45,-1.2705189485271273,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,12,2026-02-02 14:40:30,-1.409843304958644,METRO_001,ITEM_001
STEP_001,PPID_001,P_TYPE_3,A0004.1,A0004,13,2026-02-02 14:48:44,0.5882085696873094,METRO_001,ITEM_001
