line_id,process_id,step_seq,ppid,lot_type,lot_id,root_lot_id,wafer_id,tkout_time,fab_value,metro_step_seq,item_id
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,1,2025-12-01 00:01:30,1.1273338394084866,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,2,2025-12-01 00:17:27,0.6666861875597655,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,3,2025-12-01 02:55:25,0.7359120961284967,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,4,2025-12-01 03:11:00,-1.3955939396485557,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,5,2025-12-01 03:22:50,1.2854217448018563,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,8,2025-12-01 06:57:05,0.2967005524832103,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,9,2025-12-01 08:15:03,-0.35904822481605125,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,10,2025-12-01 09:25:28,0.17412400603594114,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,12,2025-12-01 10:00:18,-1.822284642214253,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,13,2025-12-01 10:40:13,0.4499989239398977,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,14,2025-12-01 10:55:58,-1.0455463685093545,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,16,2025-12-01 11:17:45,-1.381777097277276,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,17,2025-12-01 11:53:33,-1.558253553666607,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,18,2025-12-01 11:55:39,1.1821959099895223,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,19,2025-12-01 12:26:19,-0.6294339294405003,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,21,2025-12-01 13:47:36,1.620076818313159,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,22,2025-12-01 15:00:59,-0.5322335215743897,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,P_1,A0001.1,A0001,25,2025-12-01 16:20:08,-1.7506522758966647,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,1,2025-12-01 16:33:15,-1.1361854175466055,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,2,2025-12-01 16:56:16,1.310244084807216,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,3,2025-12-01 19:08:40,-0.13713410505413423,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,4,2025-12-01 19:31:23,-0.545218788350225,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,5,2025-12-01 19:51:56,0.1914189548868992,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,6,2025-12-01 20:09:22,0.5468540456142468,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,7,2025-12-01 21:06:18,1.187094768538559,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,8,2025-12-01 21:26:07,1.5314391990886433,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,9,2025-12-01 21:53:00,-0.3491593916206492,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,10,2025-12-01 23:24:33,-1.3540895935253199,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,11,2025-12-01 23:45:03,-0.40500376756820705,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,12,2025-12-01 23:49:39,0.29569172684620165,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,13,2025-12-02 00:31:25,-0.9773092832590354,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,14,2025-12-02 00:39:46,-0.9704369514908446,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,15,2025-12-02 01:06:01,0.38253939681188087,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,16,2025-12-02 01:17:10,-0.02559844563326919,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,18,2025-12-02 02:08:33,0.05910887522804997,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,19,2025-12-02 02:09:15,-0.7638351480880723,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,20,2025-12-02 02:10:51,-0.21461674277399803,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,21,2025-12-02 02:15:13,-0.9362024700390366,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,22,2025-12-02 02:47:33,0.9508063475697783,MET_020,ITEM_X
LINE_A,PRC_O1,STP_007,PPID_ALPHA,E_3,A0002.1,A0002,23,2025-12-02 03:13:56,1.1016593081127026,MET_020,ITEM_X
