step_seq,ppid,lot_type,lot_id,root_lot_id,wafer_id,tkout_time,eqp_id,eqp_chamber,fab_value,metro_step_seq,item_id
STEP_002,PPID_002,P_TYPE_2,A0084.2,A0084,8,2025-11-01 00:22:39,EQP_01,EQP_01_CH_04,27.088980821314173,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_1,A0056.2,A0056,6,2025-11-01 01:47:47,EQP_03,EQP_03_CH_01,27.76832518904003,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0084.2,A0084,24,2025-11-01 05:09:30,EQP_05,EQP_05_CH_04,31.4305054250223,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0012.2,A0012,7,2025-11-01 05:54:58,EQP_02,EQP_02_CH_03,27.335966713276918,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0113.2,A0113,12,2025-11-01 06:17:07,EQP_03,EQP_03_CH_04,28.983298003363906,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0052.2,A0052,14,2025-11-01 08:23:04,EQP_02,EQP_02_CH_02,21.865730449019004,METRO_002,ITEM_002
STEP_002,PPID_002,E_TYPE_3,A0065.2,A0065,20,2025-11-01 10:34:08,EQP_01,EQP_01_CH_02,22.31306471466816,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0097.2,A0097,4,2025-11-01 11:08:19,EQP_03,EQP_03_CH_02,29.701615965972337,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_1,A0018.2,A0018,25,2025-11-01 12:15:41,EQP_01,EQP_01_CH_03,29.091293257546088,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0116.2,A0116,11,2025-11-01 12:57:30,EQP_04,EQP_04_CH_02,29.900117254058244,METRO_002,ITEM_002
STEP_002,PPID_002,E_TYPE_2,A0102.2,A0102,21,2025-11-01 13:00:15,EQP_02,EQP_02_CH_01,26.583883136484964,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0003.2,A0003,14,2025-11-01 13:26:28,EQP_01,EQP_01_CH_01,29.65526580281616,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_3,A0030.2,A0030,4,2025-11-01 17:09:55,EQP_05,EQP_05_CH_04,26.053027534940206,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0081.2,A0081,21,2025-11-01 18:34:42,EQP_04,EQP_04_CH_03,27.88493388816553,METRO_002,ITEM_002
STEP_002,PPID_002,E_TYPE_3,A0126.2,A0126,14,2025-11-01 18:57:20,EQP_04,EQP_04_CH_04,25.217799123462527,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0041.2,A0041,19,2025-11-02 00:13:48,EQP_05,EQP_05_CH_01,30.762616304550015,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0050.2,A0050,12,2025-11-02 00:50:27,EQP_02,EQP_02_CH_03,29.61887974130869,METRO_002,ITEM_002
STEP_002,PPID_002,E_TYPE_3,A0021.2,A0021,14,2025-11-02 00:58:38,EQP_03,EQP_03_CH_02,28.41702785185501,METRO_002,ITEM_002
STEP_002,PPID_002,P_TYPE_2,A0123.2,A0123,14,2025-11-02 01:53:32,EQP_03,EQP_03_CH_02,30.24493413879885,METRO_002,ITEM_002
